5.995,0,5.4623,6.1354,6.0208,0,0,0,0,0,0,5.2747,3.7238,0,0,3.6289,0,3.8035,0,5.4967,5.744,0,6.0066,5.9521,5.5683,0,0,0,0,3.6545,0,5.9439,5.7511,4.9454,0,4.3357,3.8691,3.9509,5.7121,3.5812,5.4255,3.8299,5.5829,0,3.9302,3.2718,4.0692,5.7414,0,0,5.5816,3.4482,4.0972,3.2493,3.3081,0,5.5868,3.4154,3.1793,5.3707,3.2891,0,0,3.1277,4.1497,4.0428,5.8564,0,0,5.8379,4.1441,6.0981,3.9802,0,0,5.9557,5.7984,3.6617,5.8741,3.9406,0,0,0,3.4583,3.5765,4.5077,0,5.9697,5.9095,0,0,5.1168,0,5.7075,3.4415,5.6841,5.593,5.5925,5.6577,3.1339,0,3.7202,0,0,0,5.9713,5.6011,3.7177,4.324,5.2098,0,3.3512,0,3.9364,3.5577,4.2076,5.8092,0,5.7006,0,0,0,0,3.4888,3.5457
8.4588,8.0347,8.2497,8.2582,7.3828,7.8692,7.832,7.6839,8.6997,7.8617,7.9999,8.6645,7.9098,7.9969,8.0215,8.6374,8.0157,8.1643,7.6199,8.326,8.138,8.3934,7.2416,7.4397,7.5666,7.5994,8.2655,7.5951,8.5716,8.2479,7.8661,8.1908,8.359,8.5131,7.6651,7.89,8.1877,7.5136,7.391,7.729,7.5362,7.7029,8.1003,7.4438,8.2328,8.1195,8.3784,7.4453,8.2656,8.0149,8.2554,7.8809,8.3942,8.603,7.9018,7.6161,8.0716,8.756,8.4145,7.4781,8.2127,7.8274,7.6826,7.8777,8.0236,8.0468,7.6132,7.3129,7.9337,8.1288,8.0024,7.3007,8.3927,8.5035,8.2925,7.3284,7.209,8.6519,7.1402,7.7131,8.3172,8.356,8.3002,7.8062,8.6433,7.9821,7.9665,8.1976,7.2866,7.9638,8.8951,8.5642,8.6038,8.3634,7.8629,7.5488,7.6055,7.5998,8.1277,8.7906,8.25,7.6305,8.5754,7.7354,8.0822,7.3702,7.5896,8.0689,8.5313,8.2266,8.4129,8.0409,8.6654,7.517,8.047,8.0348,8.2662,8.5232,8.2827,8.6488,8.4302,8.1974,7.769,7.6078,7.8845
6.8081,0,0,6.9246,7.9699,0,0,0,0,0,0,7.0424,0,0,0,0,0,0,0,0,6.9701,0,7.3091,7.1741,0,0,0,0,0,0,0,0,0,6.7938,0,0,0,0,6.6764,0,0,0,6.806,0,0,0,0,6.5952,0,0,6.7093,0,0,0,0,0,6.7524,0,0,0,0,0,0,0,0,0,6.9255,0,0,6.894,0,7.1441,0,0,0,7.1421,0,0,7.2692,0,0,0,0,0,0,0,0,6.7469,7.1717,0,0,6.8361,0,0,0,6.7723,0,0,7.0299,0,0,0,0,0,0,7.1828,6.5803,0,0,0,0,0,0,0,0,0,6.8767,0,6.9356,0,0,0,0,0,0
7.8603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6404,0,0,7.7805,0,0,0,0,7.4902,0,8.0021,7.315,7.9807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3345,7.6536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5527,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8068,8.0951,0,0,0,0,0,0,0,0,0,0,0,7.6026,7.9312,0,0,0,7.8977,0,7.7112,7.8117,0,0,0,0,0,0,0,0,0,7.8186
6.7085,7.9331,7.2499,7.2757,6.5396,6.8547,7.3094,8.6435,7.2381,8.2584,6.4225,7.5889,7.793,8.2903,7.7684,7.3232,7.6058,6.8931,8.682,7.3109,6.5279,7.4765,7.5048,6.5848,7.0687,5.8013,7.1815,5.8309,7.3871,5.9346,6.8907,6.4312,7.19,7.4431,6.7741,8.8319,6.2767,5.8852,7.1074,5.431,6.3798,5.5693,7.357,8.4831,6.273,6.3963,7.2075,6.4889,7.2409,7.2812,6.1368,6.717,7.158,7.3043,6.6798,8.1803,7.2403,6.8995,7.0655,6.3576,5.9899,8.0798,7.0936,7.7484,7.1919,7.2201,6.7188,6.0721,7.0165,7.2387,9.0152,7.4906,6.3763,7.0112,6.6312,7.4964,7.5571,7.4194,7.4337,6.0798,7.4542,6.2647,6.1557,7.7483,7.3347,8.9739,7.5801,7.2274,7.4691,7.0046,7.0774,6.8128,7.4055,7.2961,5.6634,6.5811,7.2806,7.2667,7.421,6.9741,6.093,6.9222,7.4285,8.2218,7.2746,6.6372,6.4908,5.3308,7.3415,7.1742,6.9761,5.4111,7.4919,5.9837,5.2544,7.2171,6.2552,7.3654,6.2804,7.4836,6.8717,6.5215,7.1498,6.9788,6.0381
7.7851,7.5598,8.4189,7.0993,7.3243,7.5992,7.6593,7.0743,7.5191,7.6827,7.3803,8.0813,7.8288,7.3836,7.5645,7.6426,7.5719,7.4379,7.041,8.3854,7.7995,7.127,7.8885,7.7741,7.3044,7.5267,6.8746,7.6692,7.0349,6.8806,7.2657,7.0369,7.7105,7.226,7.5099,7.1931,7.3197,7.2613,7.7851,7.4925,7.8055,7.5376,7.7305,6.9484,7.2248,7.7487,8.508,7.6795,6.9527,7.5621,7.5334,7.4085,8.5203,7.3658,7.3507,7.6177,7.6226,7.1078,7.4486,7.7439,6.913,7.2625,7.6272,7.8705,7.4768,7.4826,6.6741,8.0221,7.9344,8.0764,7.5121,8.2414,7.402,7.5023,8.0651,8.2389,8.0231,7.5184,7.9274,7.6369,7.9132,7.6801,7.6065,7.7674,7.3932,7.5579,7.7202,7.2604,8.215,7.5069,7.4189,8.0463,7.2757,7.7966,7.8342,7.8571,7.9405,7.8842,7.8748,7.2733,7.5212,7.6902,7.2162,7.8076,7.8332,7.7761,7.8907,7.2206,8.6753,8.2493,7.4494,7.1831,7.3106,7.3295,7.1424,7.4678,7.5332,7.0741,7.0679,7.315,6.7766,7.9442,7.7674,7.715,7.1694
6.481,6.1415,6.939,6.9565,6.6704,5.705,5.7166,5.7782,6.6856,6.3412,5.7028,6.154,6.3149,5.934,5.4074,6.7394,5.3928,6.8467,5.9234,6.819,7.2638,5.6014,7.4858,6.607,6.4892,4.72,5.5313,5.0126,6.2533,6.2797,5.3013,6.6338,6.1346,6.0079,5.3124,6.4159,5.0527,5.978,7.163,5.5733,5.9616,5.7086,7.3415,5.5764,5.0523,6.1612,5.7551,6.2701,5.4205,5.0816,5.7835,6.5257,5.8277,5.6771,6.5941,6.055,7.2965,6.7734,6.4206,6.0471,6.3274,5.7346,5.4604,6.1529,5.0774,5.164,6.5111,5.095,5.4681,7.317,6.4294,6.2237,5.1213,5.4752,6.36,6.3055,7.4809,5.6822,7.4607,5.983,5.2031,5.7946,5.7866,6.2389,5.7239,6.7496,5.2645,6.8173,6.287,5.481,6.9742,6.0717,5.8328,6.2278,5.8309,6.5927,6.6478,6.7061,7.4629,6.8816,5.7523,5.3269,5.7588,6.2584,5.1918,6.5936,6.3521,6.0684,6.119,6.7136,5.5992,6.1547,6.5204,6.0176,5.9742,5.412,5.992,5.77,6.0453,6.5493,5.5646,6.3546,5.6488,5.6523,6.6174
6.1719,5.0779,6.6849,5.6885,6.6644,0,0,0,0,0,0,6.349,0,5.1022,0,0,0,0,0,6.6464,6.5012,0,6.1139,6.6931,6.2405,0,0,0,5.2002,0,0,5.6475,6.016,6.1475,0,0,0,0,6.2737,0,6.2185,0,6.6309,0,0,0,6.5503,6.4235,0,0,5.8062,0,6.5409,0,0,0,6.5428,0,0,6.0953,0,0,0,0,0,0,6.6224,0,5.3193,6.4726,5.2427,6.9184,0,0,5.3093,6.8474,5.9815,0,5.9341,0,0,0,0,5.142,0,5.1569,0,5.6916,6.8861,0,0,6.2764,0,6.0233,0,6.5392,6.2412,6.2485,6.6154,0,0,0,0,0,0,6.6212,6.2511,0,6.6986,6.5577,0,0,5.2656,0,0,0,5.9287,0,5.8813,5.2194,0,5.1123,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7273,0,0,0,0,0,0,0,0,0,0,3.7339,0,0,3.6832,3.8421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4107,0,0,0,0,7.5754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.54,0,6.9263,7.5865,7.4459,0,0,0,4.2616,0,0,6.7941,3.9779,0,0,4.3345,0,4.4104,0,6.9226,7.3434,0,7.4419,7.4827,7.1679,0,0,0,0,5.1745,0,7.3665,7.203,6.5781,4.0583,4.589,4.7741,4.5873,7.1494,4.7104,7.0831,4.5764,7.0401,0,4.7305,4.5591,5.6802,7.2164,0,0,7.1,3.8649,5.7952,4.1116,3.9639,0,7.0214,4.0723,4.3247,7.0404,5.3271,0,0,3.8608,4.6758,4.5345,7.3323,0,0,7.2493,4.6752,7.5849,4.7812,0,4.4853,7.5409,7.3964,4.1886,7.3794,4.7728,0,0,0,3.8865,4.1221,4.5608,0,6.6897,7.578,0,4.2533,6.6549,0,7.2989,4.7144,7.3207,7.1648,7.196,7.1272,3.807,0,4.1589,0,0,0,7.3914,7.2658,5.3603,5.8225,6.7981,0,5.3418,0,4.8911,5.3647,4.5918,7.2365,0,7.3327,0,0,4.5205,0,4.3264,5.3578
