"","mzmed","mzmin","mzmax","rtmed","rtmin","rtmax","npeaks","BLANK","STDMIX","QC","QCb","QCp","QCs","MERs2","41Bp1","VCAs2","NEROs1","GWTs2","GWTp2","SAUp2","VCIp2","RIEb1","ISAp2","MOTp2","VATs1","41Bb3","RIEp1","41Bp3","RIEb3","RIEp3","ISAb2","VCIp3","VCAs1","SAUs3","VCAp1","ISAs1","GWTs1","RIEs3","MORp3","VCAp3","MORp2","NEROp3","MOTb2","MOTp1","NEROs3","MERs3","VATs3","KBBb1","VCIb3","MERb3","GWTb3","SAUs2","MORb1","MORs3","MORb3","41Bs3","VCIp1","MERb2","SAUb3","KBBs1","MOTs3","VCAp2","KBBp2","F3P51s1","ISAb3","KBBs2","VATb2","ISAb1","ISAp3","41Bs2","NEROb1","RIEb2","MORs2","MOTb1","GWTb1","41Bp2","SAUp1","41Bb2","VCAb3","VCAb2","MOTs2","MORp1","GWTp3","SAUs1","VCIb2","VCIs3","MERb1","MERp1","SAUb1","VCIs1","ISAs2","VATb1","ISAs3","KBBp1","F3P51p3","F3P51p2","41Bb1","VATb3","VCIb1","RIEp2","NEROs2","VCIs2","MOTp3","NEROb2","VATs2","VATp3","MERs1","MORb2","MOTs1","RIEs2","RIEs1","41Bs1","NEROb3","F3P51p1","KBBb2","VATp2","ISAp1","KBBp3","GWTs3","MORs1","F3P51b1","KBBs3","VCAs3","MERp2","F3P51b3","NEROp2","GWTb2","F3P51b2","VCAb1","F3P51s2","VATp1","F3P51s3","NEROp1","MERp3","SAUb2","SAUp3","KBBb3","MOTb3"
"540",543.133694695856,543.050271744299,543.134962359155,88.6709982000002,86.1360024,103.9569996,23,0,0,1,0,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"541",543.314972545917,543.313162170282,543.316255161451,1251.721518,1251.669966,1282.88601,16,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"542",544.137525195698,544.137299179174,544.137751212222,89.2865404131636,88.6295582263272,89.9435226,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"543",544.318540342119,544.317537197982,544.319543486256,1252.0278118454,1251.6966176908,1252.359006,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"544",545.164374264845,545.160911446441,545.165239994873,1246.601028,1246.562004,1247.83905,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"545",545.144812831875,545.144812831875,545.144812831875,1090.812036,1090.812036,1090.812036,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"546",545.200392550937,545.163771121412,545.201823060216,1155.336513,1149.934962,1158.896028,44,0,0,5,0,0,5,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"547",545.200803665719,545.198779496243,545.201698863661,931.186527,928.639380496815,933.113481,17,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"548",545.200610849293,545.199834641837,545.201620144873,1023.393972,999.898531984829,1025.30333633988,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"549",545.40302026353,545.292657897028,545.413600894225,1387.76001,1387.108038,1390.946046,157,2,5,7,6,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
