"","mzmed","mzmin","mzmax","rtmed","rtmin","rtmax","npeaks","Albendazole","All_4_Pools","Ancitabine","Aspirin","Atrazine","BetaEstradiol","BisphenolA","BLANK","Bortezomib","Chloroquine","Control","Daidzein","Dexamethasone","Diethylstilbestrol","Dimephentioate","Diuron","Erlotinib","Gefitinib","Genistein","Glyphosate","Hydrocortisone","Ibuprofen","Lapatinib","Mebendazole","NVP-BEZ235","Octylmethoxycinnamate","Phthalate","PoolBatch1","PoolBatch2","Prednisolone","Quercetin","Rapamycin","Tamoxifen","PoolBatch3","PoolBatch4","Thiram","TrichostatinA","Vinblastine","Vincristine","Vorinostat","Wortmannin"
"7319",804.264896491338,804.261827517278,804.266216015584,890.49161635047,887.40006138616,893.208023107326,197,3,9,3,3,2,3,3,25,3,3,22,3,3,3,3,3,3,3,3,3,2,3,2,15,3,3,3,8,7,3,3,2,3,8,8,3,3,3,3,3,3
"7320",804.570460598378,804.500715664163,804.612096484013,1235.23286211891,1221.66018663549,1257.1279278408,208,3,10,3,3,2,3,3,24,3,3,24,3,3,3,3,3,3,3,3,3,3,3,3,15,3,3,3,7,8,3,3,3,3,8,8,3,2,3,3,3,3
"7321",804.573903155277,804.56934842898,804.736940156605,1121.29186873918,1109.75582509804,1137.27949818629,139,2,6,3,1,3,0,1,21,2,1,16,3,3,2,3,2,2,2,2,2,3,2,2,11,2,3,2,4,8,1,1,2,2,4,3,2,2,1,2,3,2
"7322",804.632938426099,804.622754390065,804.636710738535,997.633682013746,995.290290681088,1007.01016754161,23,3,0,0,0,0,0,1,0,0,1,2,0,2,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,1
"7323",805.226365232071,805.211000040782,805.232033476884,35.0133045050864,18.4163557648914,37.4156310511259,132,3,10,3,1,3,2,3,0,3,3,18,3,3,2,3,2,0,3,2,0,3,3,3,10,2,3,2,8,0,2,1,2,3,8,8,3,0,1,0,0,3
"7324",805.266254727471,805.262782491604,805.26738268314,889.476747986926,886.414269954029,891.212506197638,194,3,9,2,3,3,3,3,25,2,3,23,3,1,3,3,3,3,3,3,3,2,3,2,14,3,3,3,8,7,3,3,3,3,7,8,3,3,3,3,3,3
"7325",805.500127630626,805.499498902616,805.501771939955,790.058474687564,779.327060862901,799.362197078839,13,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,2,0
"7326",805.577087087828,805.523190169016,805.734166256868,1124.32381488006,1115.29380687511,1134.69062951182,171,3,7,3,2,3,3,1,24,3,1,19,3,3,2,3,2,3,2,3,2,3,3,3,12,3,3,0,8,7,2,1,3,3,8,5,2,1,3,3,3,3
"7327",805.553609733025,805.509079871682,805.677115925623,1252.96256261398,1223.638452841,1265.70158748863,151,2,9,3,3,2,3,2,12,0,3,19,3,1,2,3,3,3,2,0,1,2,3,2,11,2,0,3,6,8,2,3,0,1,5,8,2,2,2,2,0,2
"7328",806.264482992573,806.26247106109,806.268459395078,889.729741303473,886.660694242831,891.37156459039,187,3,9,2,3,2,2,3,24,2,3,21,3,1,3,3,3,3,3,3,3,2,3,2,13,3,3,3,8,7,3,3,3,3,6,8,3,3,3,3,3,3
"7329",806.229906560856,806.210762043719,806.275265288344,34.9278726887137,18.1488649648914,37.2255096523761,83,3,4,0,0,2,1,3,0,3,3,10,2,3,1,3,1,0,1,2,0,2,2,1,4,0,3,0,7,0,0,1,0,3,8,6,2,0,0,0,0,2
"7330",806.52683245989,806.42684398374,806.607929594808,1250.56487960775,1217.71042034927,1263.43975066375,178,3,10,3,3,2,3,3,0,2,3,23,3,3,3,3,3,3,3,3,3,2,3,3,14,3,2,3,8,8,3,3,3,2,8,8,3,3,3,3,0,3
"7331",806.568314529419,806.567703471023,806.568671822784,825.378686848782,819.214175377029,829.505319218259,32,0,0,0,0,2,0,0,8,1,0,3,2,0,1,0,0,0,0,1,0,0,0,0,5,0,2,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0
"7332",806.574631452239,806.566450246464,806.726368792509,1119.4177981766,1101.14518093994,1163.76735633418,223,3,9,3,3,3,3,3,24,3,3,24,3,3,2,3,3,3,3,3,3,2,3,3,14,3,3,3,8,6,3,3,3,3,8,7,3,3,3,3,3,3
"7333",806.723128156445,806.659647737871,806.854403375738,1230.53633516184,1218.43630391611,1243.6601967062,15,0,0,0,0,1,0,0,8,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
"7334",807.139277579044,807.040121034531,807.238434123556,634.120576919701,634.021081807616,634.220072031785,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7335",807.26421891182,807.262545687848,807.265870017716,890.123150701295,886.910981247652,891.37156459039,139,2,6,1,3,2,2,3,18,1,1,15,3,0,2,2,2,1,3,2,2,1,3,1,10,2,3,2,7,6,0,2,2,3,3,7,3,2,3,3,2,3
"7336",807.390021812782,807.389115052213,807.507931509777,622.351310845722,596.668140060957,632.951162917595,26,0,10,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,1,1,0,0,0
"7337",807.551252736997,807.489157046757,807.632715096286,1252.34787052774,1218.52044930326,1264.02562759375,165,3,8,3,3,3,2,3,6,2,3,20,2,2,2,3,3,3,3,3,3,3,3,3,13,3,2,2,8,8,3,3,3,1,6,8,2,2,3,3,0,3
